id,Area,Ratio_2000,Ratio_2001,Ratio_2002,Ratio_2003,Ratio_2004,Ratio_2005,Ratio_2006,Ratio_2007,Ratio_2008,Ratio_2009,Ratio_2010,Ratio_2011,Ratio_2012,Ratio_2013
AFG,Afghanistan,3.013969025,2.710961373,4.420731707,3.663334408,4.445005683,7.187082676,7.905743741,7.795698925,7.154309725,8.48516671,7.066490174,5.987542696,7.184667674,7.153835406
ALB,Albania,17.91594034,17.43970315,17.02702703,15.90262971,17.53143262,17.36244541,17.85470668,16.57735523,17.64319711,18.34357813,20.29514681,19.67551622,18.98972355,18.97295742
DZA,Algeria,8.049101522,9.379702848,9.791972023,9.81911519,10.38733993,9.745134076,9.897133511,9.308027407,7.236731255,9.188090988,10.695266,12.80856531,14.05715601,13.71995903
AGO,Angola,24.51358533,34.91045593,44.76224526,44.79368689,60.44349519,58.13292264,54.83747191,51.16114344,47.1738831,51.17514817,47.73776547,47.78000364,36.09839817,61.47870257
ATG,Antigua and Barbuda,0,0,0,0,0,1.769911504,1.851851852,0,0,0,0,0,0,0
ARG,Argentina,19.59692007,17.70153284,20.20471014,19.89876792,19.49431755,25.59003838,24.14137243,25.50864958,23.7799511,12.21136185,18.70185588,23.43519824,17.53799486,24.25341592
ARM,Armenia,21.35158753,22.42424242,18.15226226,20.67295437,28.28564783,22.28571429,18.26813521,24.47926267,25.66371681,21.85714286,15.52600704,20.8466604,20.58061172,22.39849881
AUS,Australia,52.20693903,54.55060156,49.98331108,64.80678397,60.58357787,68.1960981,60.82463627,56.37748096,57.44233776,46.92097959,54.57835341,46.28788954,44.54865729,42.00341103
AUT,Austria,38.43137255,37.8554399,35.82412442,41.7300495,47.71766695,45.56163732,43.55696278,42.83793265,46.33962701,45.7250604,43.80902106,43.4353684,34.97252439,37.55710904
AZE,Azerbaijan,14.36990027,17.57313556,17.4946633,18.67129038,20.78536368,17.62301525,16.2751182,21.30696225,22.49422299,24.38696912,21.33736098,20.99947188,23.62980614,26.58211954
AZE,Bahamas,0.751879699,0.770712909,0.1953125,0.408163265,0.733944954,0.357781753,0.371747212,0.761904762,0.556586271,0.733944954,0.343642612,0.34904014,0.31496063,0.318979266
BGD,Bangladesh,3.602132842,3.427723569,3.521291386,3.688611973,3.529265424,3.544981541,4.047847799,4.723783106,5.417921724,5.110372817,5.478900928,5.44042391,5.21093813,5.84144889
BRB,Barbados,18.82352941,19.15492958,14.64088398,15.2,19.82758621,17.46835443,18.50899743,19.07090465,24.87437186,19.55445545,19.25925926,17.92929293,14.39205955,15.23341523
BLR,Belarus,136.873659,129.0260133,126.711709,144.1952259,170.5589986,152.5221681,139.1491531,148.2292767,169.504383,155.6464905,138.0846573,131.4875313,129.3920923,116.9790771
BEL,Belgium,68.51650687,68.96437683,70.68449598,70.93972719,65.95934883,52.95480333,48.88683603,61.11162234,58.35034708,61.33259505,52.87684038,48.77316205,45.25642215,49.70361056
BLZ,Belize,27.19033233,36.14130435,32.06521739,32.55208333,22.77777778,21.05263158,17.12846348,19.57040573,19.0023753,22.1686747,20.59496568,24.33090024,23.09468822,30.18867925
BEN,Benin,16.76014957,17.18181818,16.14807527,28.68506689,33.06905665,32.96373296,27.54477938,22.29369786,32.09825575,29.75270479,29.78959025,32.4490513,28.8096032,32.13340816
